fips,votes.dem,votes.rep,votes.other,total,share.dem,share.rep,share.other,Y
12033,54734,73752,0,128486,0.42599193686471676,0.5740080631352832,0,0.298223024952288
12035,21635,30583,0,52218,0.41432073231452754,0.5856792676854724,0,0.346131925347764
12037,1805,3589,0,5394,0.3346310715609937,0.6653689284390063,0,0.687313020380626
12039,14612,5356,0,19968,0.7317708333333334,0.2682291666666667,0,-1.00362568110411
12041,1324,5991,0,7315,0.18099794941900205,0.819002050580998,0,1.5096008855869714
12043,1184,2598,0,3782,0.3130618720253834,0.6869381279746166,0,0.7858433817865937
12045,1458,4411,0,5869,0.24842392230362925,0.7515760776963708,0,1.1070357875363361
12047,1756,2746,0,4502,0.3900488671701466,0.6099511328298534,0,0.44710681213285436
12049,1903,4428,0,6331,0.30058442584109935,0.6994155741589007,0,0.844516426532378
12051,3557,5051,0,8608,0.4132202602230483,0.5867797397769516,0,0.35066875051959734
12053,30385,49362,0,79747,0.38101746774173323,0.6189825322582667,0,0.4852318318275297
12055,13299,25913,0,39212,0.33915638069978576,0.6608436193002142,0,0.6670559288514173
12057,113143,120732,116,233991,0.48353569154369186,0.5159685628934446,4.957455628635289e-4,0.06492070771333593
12059,787,5963,0,6750,0.1165925925925926,0.8834074074074074,0,2.0251007407057027
12061,27005,46744,0,73749,0.3661744566028014,0.6338255433971987,0,0.5486638712072814
12063,4891,10935,0,15826,0.3090484013648427,0.6909515986351573,0,0.804571872571511
12065,3719,3568,0,7287,0.5103609167009744,0.48963908329902567,0,-0.04144960022517006
12067,458,2328,0,2786,0.16439339554917445,0.8356066044508256,0,1.6258956247371434
12069,60849,92949,0,153798,0.39564233605118404,0.604357663948816,0,0.42365557019252315
12071,111897,174534,0,286431,0.39065953056757124,0.6093404694324287,0,0.4445407597630222
12073,89684,48574,0,138258,0.6486713246249765,0.3513286753750235,0,-0.6132039724721953
12075,4715,12168,0,16883,0.2792750103654564,0.7207249896345437,0,0.9480606388715709
12077,580,2077,0,2657,0.2182913059841927,0.7817086940158073,0,1.2756517203356474
12079,3456,4101,0,7557,0.4573243350535927,0.5426756649464073,0,0.171118995468113
12081,67653,95137,0,162790,0.415584495362123,0.5844155046378771,0,0.34092625849697233
12083,57452,95441,0,152893,0.3757660586161564,0.6242339413838436,0,0.5075584389522841
12085,27694,50235,0,77929,0.35537476420844616,0.6446252357915538,0,0.5954962116817554
12086,299870,302965,7198,610033,0.49156357115106886,0.49663706717505446,0.011799361673876659,0.010268239879394504
12087,16671,19307,0,35978,0.4633665017510701,0.5366334982489299,0,0.14679704148778583
12089,9895,32571,779,43245,0.22881257948895825,0.7531737773152966,0.018013643195745173,1.1913927428632958
12091,23694,60222,0,83916,0.28235378235378233,0.7176462176462176,0,0.9328158825271509
12093,3415,7665,0,11080,0.3082129963898917,0.6917870036101083,0,0.808487019301024
12095,125592,71936,0,197528,0.6358187193714309,0.36418128062856914,0,-0.5572617229068453
12097,71924,41829,0,113753,0.6322822255237225,0.36771777447627757,0,-0.5420201270883976
12099,157839,101495,0,259334,0.6086321114855746,0.3913678885144254,0,-0.441565989979909
12101,80624,124959,5206,210789,0.3824867521549986,0.5928155643795454,0.024697683465455977,0.4381893115602935
12103,232512,199700,2188,434400,0.5352486187845303,0.4597145488029466,0.00503683241252302,-0.15212559617696725
12105,107853,131483,0,239336,0.45063425477153457,0.5493657452284654,0,0.19810837683423535
12107,8494,19490,0,27984,0.3035305889079474,0.6964694110920526,0,0.83054148162839
12109,40858,85608,2718,129184,0.3162775575922715,0.6626826851622492,0.021039757245479317,0.7396760961592385
12111,62281,61645,0,123926,0.5025660474799477,0.4974339525200523,0,-0.010264280035323722
12113,19948,55526,0,75474,0.2643029387603678,0.7356970612396322,0,1.0237224918398866
12115,94779,114565,0,209344,0.4527428538673189,0.5472571461326812,0,0.1895944817766263
12117,106343,91423,0,197766,0.537721347451028,0.462278652548972,0,-0.15117263113402368
12119,22205,51631,0,73836,0.3007340592664825,0.6992659407335176,0,0.8438047785440801
12121,3472,12376,0,15848,0.21908127208480566,0.7809187279151943,0,1.2710283164726612
12123,1982,5879,0,7861,0.25213077216639107,0.747869227833609,0,1.0872802435123217
12125,899,3964,0,4863,0.18486530947974503,0.815134690520255,0,1.4837258609782584
12127,103779,122589,0,226368,0.4584526081424936,0.5415473918575063,0,0.16657365867622537
12129,4469,9623,0,14092,0.3171302866874823,0.6828697133125178,0,0.7669913964229493
12131,7329,22861,0,30190,0.24276250414044387,0.7572374958595561,0,1.1375933209981208
12133,1792,7227,0,9019,0.19869165095908636,0.8013083490409136,0,1.3944916977481052
13001,1316,5345,0,6661,0.1975679327428314,0.8024320672571686,0,1.4015647115738832
13005,485,3260,0,3745,0.1295060080106809,0.8704939919893191,0,1.90533358342327
13007,649,606,0,1255,0.5171314741035856,0.4828685258964143,0,-0.06855273063477554
13009,7441,7839,0,15280,0.4869764397905759,0.5130235602094241,0,0.05210602679146101
13011,676,6070,0,6746,0.1002075303883783,0.8997924696116217,0,2.1949208080105795
13013,6789,20241,0,27030,0.251165371809101,0.748834628190899,0,1.092406594993888
13015,8310,28524,0,36834,0.2256067763479394,0.7743932236520606,0,1.2332862292987004
13021,27750,26234,0,53984,0.5140411973918197,0.4859588026081802,0,-0.05617956079948961
13025,529,5084,0,5613,0.0942455015143417,0.9057544984856583,0,2.2628652004510452
13029,4307,10585,0,14892,0.28921568627450983,0.7107843137254902,0,0.899196298514855
13031,8473,14952,0,23425,0.3617075773745998,0.6382924226254002,0,0.5679604329369347
13033,4114,4492,0,8606,0.4780385777364629,0.521961422263537,0,0.08790224564543123
13035,2372,6336,0,8708,0.27239320165365183,0.7276067983463482,0,0.9825141733766458
13037,1287,586,0,1873,0.6871329418045916,0.31286705819540844,0,-0.7867494180191141
13039,5725,11167,0,16892,0.33891783092588207,0.6610821690741179,0,0.6681204510233516
13043,954,2543,0,3497,0.2728052616528453,0.7271947383471548,0,0.980436093973833
13045,11931,29242,0,41173,0.28977728122798924,0.7102227187720108,0,0.896465977101583
13047,4473,18901,0,23374,0.19136647557114742,0.8086335244288526,0,1.4411555062681083
13049,808,2520,0,3328,0.24278846153846154,0.7572115384615384,0,1.1374521219843736
13051,59674,42901,0,102575,0.5817596880331465,0.4182403119668535,0,-0.33000127896276715
13053,541,546,0,1087,0.49770009199632015,0.5022999080036799,0,0.009199696898423416
13055,1482,5799,0,7281,0.20354346930366707,0.7964565306963329,0,1.3642929620204085
13057,26980,78142,0,105122,0.25665417324632334,0.7433458267536767,0,1.0634318336055097
13059,29538,12930,0,42468,0.6955354619949138,0.30446453800508616,0,-0.8261273772203523
13061,729,438,0,1167,0.6246786632390745,0.37532133676092544,0,-0.5094548216322119
13063,81031,7129,0,88160,0.9191356624319419,0.08086433756805808,0,-2.4306608253692232
13065,513,1688,0,2201,0.23307587460245344,0.7669241253975466,0,1.1910238299851328
13067,165079,142952,0,308031,0.5359168395388776,0.4640831604611224,0,-0.14391523762066427
13069,3469,8841,0,12310,0.2818034118602762,0.7181965881397238,0,0.9355336244360548
13073,18942,42099,0,61041,0.31031601710325846,0.6896839828967415,0,0.7986423086331987
13077,16573,40679,0,57252,0.28947460350730103,0.710525396492699,0,0.8979371236325793
13079,1507,3351,0,4858,0.31020996294771513,0.6897900370522849,0,0.799137889110815
13081,3103,3802,0,6905,0.4493845039826213,0.5506154960173787,0,0.20315785859999422
13083,883,4448,0,5331,0.16563496529731758,0.8343650347026824,0,1.6168846353264583
13085,1539,9874,0,11413,0.13484622798563042,0.8651537720143696,0,1.858772184979929
13087,3874,5139,0,9013,0.42982358815044935,0.5701764118495507,0,0.2825709430252884
13089,256965,44814,0,301779,0.8515006014334994,0.14849939856650066,0,-1.746419298247547
13093,2021,1649,0,3670,0.5506811989100817,0.44931880108991823,0,-0.20342339484402208
13095,22647,8431,0,31078,0.7287148465152198,0.2712851534847802,0,-0.9881120038850589
13097,33005,21509,0,54514,0.605440804197087,0.394559195802913,0,-0.42818761294643815
13099,2135,1957,0,4092,0.5217497556207233,0.47825024437927666,0,-0.08705395826664873
13101,122,1001,0,1123,0.10863757791629564,0.8913624220837043,0,2.104733734581964
13103,5065,18080,0,23145,0.21883776193562324,0.7811622380643768,0,1.2724522172633839
