Dist,GOPVote,DemVote,OtherVote,stateID,VID,PVI_GOP_State,PVI_GOP,TotPop,Black,BlackPct,White,WhitePct,Hispanic,HispanicPct,Female,FemalePct,Under35,Under35Pct,AtLeast65,AtLeast65Pct,MedianHHInc,Unemployed,BachelorDegreeOrHigher
GA-10,235810,142636,0,9,1,5,15,757807,197751,0.260951667,511091,0.674434256,40292,0.053169211,383466,0.506020662,356620,0.470594756,115450,0.152347497,61151,4.7,29.6
GA-11,245256,160623,0,9,1,5,17,782704,139051,0.177654643,557147,0.711823371,89980,0.114960445,399419,0.510306578,363687,0.464654582,103970,0.132834379,76640,2.9,42.8
GA-12,181038,129061,0,9,1,5,9,732810,251647,0.343400063,426101,0.58146177,47735,0.065139668,368720,0.503159073,358096,0.488661454,109893,0.149961109,50217,5.7,22.2
GA-13,81476,279045,0,9,1,5,-20,802943,494566,0.615941605,232947,0.290116484,95809,0.119322293,425705,0.530180847,401253,0.499727876,88652,0.110408834,66203,5.2,29.6
GA-14,229827,77798,0,9,1,5,27,732133,63917,0.087302444,619580,0.846267003,89244,0.121895885,371638,0.507609956,332570,0.454248067,109847,0.150036947,56150,4.9,18.4
HI-01,71188,183245,0,10,1,-18,-17,720786,17217,0.023886424,120751,0.167526839,65344,0.090656589,362275,0.502611039,315474,0.437680532,137647,0.190967916,86674,3.4,36.7
HI-02,84027,171517,16558,10,1,-18,-19,695086,9706,0.01396374,220460,0.317169386,85520,0.123035135,345742,0.497408954,299511,0.430897759,131823,0.189649914,79985,4.4,30.3
ID-01,310736,131380,16453,11,1,19,21,934826,7763,0.008304219,828763,0.886542522,107377,0.114863087,467512,0.500105902,420119,0.449408767,163779,0.175197309,62886,2.7,27.2
ID-02,250678,124151,16513,11,1,19,17,852239,4945,0.005802363,768155,0.901337536,122117,0.143289617,421509,0.494590133,430749,0.505432162,124838,0.146482383,58708,4,30.6
IL-01,85027,239943,0,12,0,-7,-27,711039,359132,0.505080593,298659,0.420031813,78785,0.110802642,378660,0.532544628,322762,0.453930094,118540,0.166713781,56680,8,31.3
IL-02,63142,234896,0,12,0,-7,-29,685695,383058,0.558641962,259846,0.378952741,109578,0.159805745,367896,0.53653009,318355,0.464280766,107948,0.157428594,51472,8.5,23.3
IL-03,133851,172997,0,12,0,-7,-6,702503,37020,0.052697284,543259,0.773319117,227075,0.323237054,350928,0.499539504,307747,0.438072151,115164,0.163933819,75411,5.8,31.2
IL-04,35518,187219,0,12,0,-7,-33,676674,30368,0.044878331,392916,0.580657747,453973,0.670888788,334555,0.494410898,349355,0.516282582,76187,0.112590405,59548,4.9,27.8
IL-05,96220,255661,9408,12,0,-7,-20,739401,21894,0.029610455,586340,0.792993247,161849,0.218892049,375230,0.507478351,357512,0.483515711,95709,0.129441264,94144,2.8,56.8
IL-06,183891,213777,7079,12,0,-7,2,710626,15262,0.021476839,583032,0.82044845,82932,0.116702738,360827,0.507759356,290621,0.408964772,122161,0.171906178,105292,3.1,53.2
IL-07,41390,249383,19355,12,0,-7,-38,727761,308948,0.424518489,287759,0.395403161,125615,0.172604742,373626,0.513391072,362481,0.498076979,101526,0.13950459,64312,7.1,44.9
IL-09,107125,262045,0,12,0,-7,-18,719256,68298,0.094956455,491930,0.683942852,80528,0.111960137,368125,0.511813596,307891,0.428068727,130725,0.181750309,78569,3.6,55.7
IL-10,114422,202402,0,12,0,-7,-10,706189,50362,0.071315186,486169,0.688440347,177533,0.251395873,356126,0.50429276,317782,0.449995681,111625,0.15806675,84608,4.1,44.2
IL-11,112807,194557,0,12,0,-7,-9,721594,82835,0.114794469,498296,0.690548979,202886,0.281163646,367338,0.509064654,337987,0.468389427,92511,0.128203671,81598,4.1,37.5
IL-12,194839,127577,0,12,0,-7,5,679002,113132,0.16661512,528140,0.777818033,22764,0.033525674,343803,0.506335769,293503,0.432256459,122959,0.181087832,53008,5.2,23.9
IL-13,183373,151648,0,12,0,-7,3,698830,82843,0.118545283,565536,0.809261194,28126,0.04024727,357208,0.511151496,334078,0.478053318,115755,0.165641143,53578,5.3,31.3
